Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public School,ROI,Classification
36,36 CITYSIDE GV NE,2021-05-26,2021,2023-03-15,2023,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,38,7077901,CITYSCAPE,CSC,2351500,16695500,14344000,108000,"[-113.96759403000001, 51.144078104]",13.23144816,0.348150507,186260.5526,0.08948597,1.62912539,0.77,2
46,55 CITYSCAPE RO NE,2017-04-06,2017,2021-08-04,2021,Townhouse,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,64,10298655,CITYSCAPE,CSC,3364500,18168000,14803500,108000,"[-113.96015451666666, 51.15338331]",14.38147696,0.10802281,160916.4844,0.220763019,0.614952035,0.33,1
9,179 DIEPPE DR SW,2022-09-15,2022,2023-12-01,2023,Townhouse,ANTHEM CURRIE DEVELOPMENTS II,ANTHEM CURRIE DEVELOPMENTS II,ANTHEM CURRIE DEVELOPMENTS II,5,1061911,CURRIE BARRACKS,CUR,1460000,3344000,1884000,133000,"[-114.1266659, 51.01788383]",4.856907897,0.366372387,212382.2,0.174825422,0.284815715,0.33,1
136,#7B 1313B 20 AV NW,2021-07-13,2021,2022-09-28,2022,Townhouse,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,0,8,1740706,CAPITOL HILL,CAP,602000,5910000,5308000,81000,"[-114.0906781, 51.07041526]",3.143360408,0.092793271,217588.25,0.378565027,0.464911246,1.52,2
30,302 32 AV NE,2018-10-17,2018,2023-11-29,2023,Townhouse,STEALTH HOMES,STEALTH HOMES,0,8,2185559,HIGHLAND PARK,HPK,898500,6259500,5361000,80000,"[-114.0570878, 51.081623045]",4.230277087,0.165372564,273194.875,0.367795483,0.367211142,1.03,2
215,#101 408 27 AV NE,2018-04-09,2018,2020-07-21,2020,Townhouse,CLEM LAU ARCHITECTS & DESIGNERS,CLEM LAU ARCHITECTS & DESIGNERS,0,17,3196329,WINSTON HEIGHTS/MOUNTVIEW,WIN,2800000,8339000,5539000,80000,"[-114.055071, 51.07706496]",3.782260959,0.041379374,188019.3529,0.197804701,0.446239932,0.39,1
94,101 HOMESTEAD BV NE,2020-11-17,2020,2023-10-25,2023,Unspecified,PARTNERS DEVELOPMENT GROUP,PARTNERS DEVELOPMENT GROUP,PARTNERS DEVELOPMENT GROUP,58,9238186,HOMESTEAD,HSD,2562000,26430500,23868500,97000,"[-113.9134354875, 51.114923791875]",13.54366229,0.062490532,159279.069,0.145506245,1.066914453,1.24,2
79,1910 48 ST NW,2017-07-10,2017,2023-05-26,2023,Townhouse,JG DESIGN,JG DESIGN,MAGNAT DEVELOPMENTS,16,4109997,MONTGOMERY,MON,1536000,7671500,6135500,81000,"[-114.162944575, 51.074350620000004]",7.165695892,0.041130447,256874.8125,0.146966215,0.349667057,0.36,1
163,#101 8485 64 AV NW,2018-11-16,2018,2023-02-10,2023,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,0,32,5170122,SILVER SPRINGS,SIL,4290000,10615500,6325500,133000,"[-114.2095282, 51.11065087]",12.09092216,0.104656629,161566.3125,0.144698864,0.405690977,0.12,0
130,196 LIVINGSTON VW NE,2020-03-12,2020,2021-03-23,2021,Unspecified,HOMES BY AVI (CANADA),0,HOMES BY AVI (CANADA),18,3171905,LIVINGSTON,LIV,1680500,4896500,3216000,116000,"[-114.067554925, 51.1899992125]",16.15570194,0.073108478,176216.9444,0.336403889,2.493154023,0.01,0
47,1219 LIVINGSTON WY NE,2017-03-15,2017,2018-01-17,2018,Townhouse,HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),14,2934196,LIVINGSTON,LIV,1422500,5258500,3836000,116000,"[-114.06667136666665, 51.18583607666667]",15.69417383,0.217138492,209585.4286,0.418669614,2.029134075,0.21,0
176,#210 101 PANATELLA SQ NW,2019-05-10,2019,2022-05-06,2022,Townhouse,SEIKA ARCHITECTURE,SEIKA ARCHITECTURE,EAGLE CREST CONSTRUCTION,19,2770000,PANORAMA HILLS,PAN,479000,7035000,6556000,106000,"[-114.0711645, 51.16957287]",13.8816589,0.28175252,145789.4737,0.063344607,0.39480193,1.17,2
144,2222 5 ST SW,2021-06-04,2021,2023-07-31,2023,Townhouse,KNIGHTSBRIDGE CUSTOM HOME BUILDERS,KNIGHTSBRIDGE CUSTOM HOME BUILDERS,KNIGHTSBRIDGE CUSTOM HOME BUILDERS,6,1735458,CLIFF BUNGALOW,CLI,758000,7440000,6682000,65500,"[-114.0736427, 51.03258709]",1.356168606,0.150988633,289243,0.14978215,0.192011534,1.98,2
102,#3 4320 BOWNESS RD NW,2018-09-21,2018,2022-08-30,2022,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,GREEN CEDAR HOMES,16,2944373,MONTGOMERY,MON,1018500,8026000,7007500,81000,"[-114.154325775, 51.068317730000004]",6.330807278,0.016847522,184023.3125,0.210007082,0.272835066,1.03,2
201,#308 10060 46 ST NE,2021-10-01,2021,2023-06-06,2023,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,ROHIT COMMUNITIES CALGARY,21,3795768,SADDLE RIDGE,SAD,434000,7527500,7093500,98000,"[-113.96447309999999, 51.13577037]",12.59950353,0.084378259,180750.8571,0.160918328,0.714574799,0.78,2
99,#6B 2015 22 ST SW,2021-12-14,2021,2023-11-21,2023,Townhouse,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,KALAMOIR,9,1670810,RICHMOND,RIC,1367000,8480000,7113000,113000,"[-114.11385949999999, 51.03532227]",3.115837722,0.179857354,185645.5556,0.092215776,0.398584763,1.79,2
124,733 MARINE DR SE,2019-08-07,2019,2021-08-24,2021,Unspecified,BAYWEST HOMES,0,BAYWEST HOMES,18,3299984,MAHOGANY,MAH,1294000,8534000,7240000,121000,"[-113.92551675, 50.89078158]",19.95241642,0.182020212,183332.4444,0.235819654,1.20377051,0.86,2
119,7840 8A AV SW,2019-01-25,2019,2020-03-20,2020,Townhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,0,16,4746372,WEST SPRINGS,WSP,1782000,9294000,7512000,160000,"[-114.1996306, 51.06201534]",9.133590574,0.117222093,296648.25,0.113316042,0.666301841,0.42,1
14,62 WALDEN LN SE,2018-01-04,2018,2023-12-12,2023,Townhouse,ROCKFORD WALDEN,ROCKFORD WALDEN,ROCKFORD WALDEN,36,6719363,WALDEN,WAL,3143000,10665500,7522500,110000,"[-114.02901971666667, 50.868636540000004]",19.80989396,0.111467882,186648.9722,0.17966906,1.046275538,0.08,0
8,471 LIVINGSTON WY NE,2022-11-17,2022,2023-12-13,2023,Unspecified,HOMES BY AVI (CANADA),0,HOMES BY AVI (CANADA),18,3147798,LIVINGSTON,LIV,672000,5367000,4695000,116000,"[-114.04991436666667, 51.186704420000005]",15.86081691,0.356558855,174877.6667,0.100094251,2.300336753,0.41,1
28,231 LUCAS BV NW,2018-05-18,2018,2022-05-27,2022,Unspecified,DAYTONA HOMES CALGARY LP,0,DAYTONA HOMES CALGARY LP,57,10932754,LIVINGSTON,LIV,5072500,20299500,15227000,116000,"[-114.07593522941177, 51.18603154823529]",15.71423811,0.28244323,191802.7018,0.096579572,2.058180235,0.27,0
97,315 NOLANCREST HT NW,2017-04-13,2017,2019-05-24,2019,Townhouse,CARDEL LIFESTYLES,CARDEL LIFESTYLES,CARDEL LIFESTYLES,29,5846830,NOLAN HILL,NOL,4004000,10342500,6338500,129000,"[-114.16776626000001, 51.1749974]",15.95663189,0.206032621,201614.8276,0.237353623,2.008039929,0.05,0
152,4 CREEKSIDE BV SW,2021-11-03,2021,2023-10-19,2023,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,STREETSIDE DEVELOPMENT,6,1319086,PINE CREEK,PCK,573000,3094500,2521500,106000,"[-114.0591041, 50.86287982]",20.24099262,0.878976269,219847.6667,0.206449719,2.303728222,0.64,2
3,116 CREEKSIDE BV SW,2019-10-28,2019,2023-12-13,2023,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,STREETSIDE DEVELOPMENT,16,3500810,PINE CREEK,PCK,1037500,6768000,5730500,106000,"[-114.05910953333334, 50.86188192333333]",20.35182953,0.986591433,218800.625,0.14769955,2.287761608,0.49,1
145,3810 PARKHILL PL SW,2019-05-16,2019,2020-07-13,2020,Townhouse,ARCHI DESIGN,ARCHI DESIGN,0,3,734557,PARKHILL,PKH,586500,1163000,576500,107000,"[-114.062263, 51.02126211]",2.695162474,0.077932726,244852.3333,0.258832969,1.03306574,-0.12,0
60,3414 15 ST SW,2017-12-15,2017,2020-01-31,2020,Townhouse,JF HOMES HOLDING LTD.,JF HOMES HOLDING LTD.,0,16,3207029,SOUTH CALGARY,SOC,504500,8863000,8358500,113000,"[-114.0968658, 51.02362083666667]",2.926245247,0.041250132,200439.3125,0.23891167,0.482562061,1.39,2
107,831B 21 AV SE,2022-05-23,2022,2023-06-29,2023,Unspecified,0,0,0,3,1017183,RAMSAY,RAM,938500,1440000,501500,97000,"[-114.0412329, 51.03425713]",2.43913006,0.065587974,339061,0.322239908,0.1884093,-0.26,0
4,#254 301 REDSTONE BV NE,2017-01-27,2017,2023-12-14,2023,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,STREETSIDE DEVELOPMENT,126,24803034,REDSTONE,RSN,2383000,41542000,39159000,100000,"[-113.95127266399999, 51.17005829359999]",16.28198828,0.032658912,196849.4762,0.352750279,0.964129189,0.53,1
203,3814 202 AV SE,2021-03-10,2021,2021-11-12,2021,Unspecified,JAYMAN BUILT,0,JAYMAN BUILT,4,767170,SETON,SET,532000,1559000,1027000,80000,"[-113.949618, 50.86689795]",21.54918125,0.162705585,191792.5,0.043687543,1.304403013,0.20,0
85,1381 LEGACY CI SE,2017-06-02,2017,2019-06-13,2019,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,0,50,8865343,LEGACY,LEG,5296000,16670500,11374500,110000,"[-114.00227394545455, 50.85922478545455]",21.1960995,0.154769788,177306.86,0.324262185,1.719062387,0.18,0
65,#5B 1506 10 AV SE,2020-10-21,2020,2022-03-30,2022,Unspecified,PROFESSIONAL CUSTOM HOMES,PROFESSIONAL CUSTOM HOMES,PEAK CONTRACTING SERVICES,11,3932109,INGLEWOOD,ING,503000,12600000,12097000,73000,"[-114.0292341, 51.0386837]",3.056711507,0.055430388,357464.4545,0.080532038,0.149750579,1.84,2
223,51 CRESTRIDGE CM SW,2019-06-05,2019,2022-07-15,2022,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,PARTNERS DEVELOPMENT GROUP,6,1162075,CRESTMONT,CRM,537115,12821664,12284549,160000,"[-114.2590511, 51.08086775]",13.68301287,0.459060159,193679.1667,0.290930323,1.809310444,6.55,2
178,2032B 18 AV NW,2021-07-20,2021,2022-09-28,2022,Unspecified,PROFESSIONAL CUSTOM HOMES,PROFESSIONAL CUSTOM HOMES,0,13,3930804,BANFF TRAIL,BNF,1851000,14200000,12349000,81000,"[-114.1078405, 51.06913075]",3.698048279,0.149955754,302369.5385,0.136008593,0.250608209,1.46,2
116,191 LES JARDINS PA SE,2021-07-08,2021,2023-12-08,2023,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,JAYMAN BUILT MULTI FAMILY,24,5419219,DOUGLASDALE/GLEN,DDG,195000,13260000,13065000,121000,"[-114.004648575, 50.957445275]",10.78614546,0.176628207,225800.7917,0.301889946,1.890133826,1.36,2
7,111 SETON RO SE,2022-04-06,2022,2023-09-18,2023,Townhouse,BROOKFIELD RESIDENTIAL (ALBERTA),0,BROOKFIELD RESIDENTIAL (ALBERTA),4,765025,SETON,SET,286000,1906000,1620000,80000,"[-113.9488382, 50.86461415]",21.80406292,0.194766745,191256.25,0.220286719,1.536827625,0.81,2
51,253 SETON CI SE,2018-02-28,2018,2018-10-24,2018,Unspecified,JAYMAN BUILT,JAYMAN BUILT,JAYMAN BUILT,16,2856956,SETON,SET,3680000,5986500,2306500,80000,"[-113.957077075, 50.8701126125]",21.01613571,0.114655046,178559.75,0.257703839,0.917869387,-0.08,0
84,3860 202 AV SE,2020-10-08,2020,2023-07-12,2023,Townhouse,JAYMAN BUILT,0,JAYMAN BUILT,7,1399753,SETON,SET,973500,3369000,2395500,80000,"[-113.94841615, 50.867281745]",21.54366663,0.253321417,199964.7143,0.098098001,1.241041636,0.42,1
32,442 SETON CI SE,2020-11-13,2020,2023-04-03,2023,Townhouse,AVALON MASTER BUILDER,0,AVALON MASTER BUILDER,48,6902105,SETON,SET,753000,9009500,8256500,80000,"[-113.95423733333332, 50.86882521333333]",21.224934,0.057537514,143793.8542,0.202594925,1.162737276,0.18,0
81,#2302 200 SETON CI SE,2022-05-03,2022,2023-11-07,2023,Townhouse,LOGEL HOMES,LOGEL HOMES,LOGEL HOMES,64,10680668,SETON,SET,1060000,10007500,8947500,80000,"[-113.9558397, 50.8703796]",21.02205749,0.02561569,166885.4375,0.264074675,0.978845012,-0.15,0
12,525 SAGE HILL RD NW,2021-10-13,2021,2023-09-27,2023,Unspecified,CALBRIDGE HOMES,0,CALBRIDGE HOMES,35,7034625,SAGE HILL,SGH,3299500,16452000,13152500,129000,"[-114.14964198888889, 51.17519918111111]",15.48956046,0.107266295,200989.2857,0.148183615,1.704032363,0.59,1
68,232 AUBURN MEADOWS MR SE,2018-06-07,2018,2022-07-15,2022,Townhouse,BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),56,8536046,AUBURN BAY,AUB,2966500,18984000,16017500,121000,"[-113.94599434444444, 50.89337783777778]",18.99883256,0.1276088,152429.3929,0.125123453,0.271132569,0.65,2
37,260 HARVEST HILLS WY NE,2019-02-26,2019,2021-07-14,2021,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,CEDARGLEN LIVING,67,15421330,HARVEST HILLS,HAR,1940000,18572500,16632500,106000,"[-114.04249806923077, 51.15093347]",11.98590777,0.220480205,230169.1045,0.178850197,0.735382993,0.07,0
77,421 SAGE HILL GV NW,2017-05-25,2017,2020-04-17,2020,Townhouse,CLEM LAU ARCHITECTS & DESIGNERS,CLEM LAU ARCHITECTS & DESIGNERS,0,75,13965466,SAGE HILL,SGH,2593000,24121500,21528500,129000,"[-114.13514633636363, 51.17229136181818]",14.85557858,0.081206909,186206.2133,0.148124014,1.287533408,0.46,1
11,130 TUSCANY SUMMIT SQ NW,2018-11-26,2018,2023-11-02,2023,Townhouse,ROCKFORD TUSCANY,ROCKFORD TUSCANY,ROCKFORD TUSCANY,52,8293789,TUSCANY,TUS,703000,18947000,18244000,133000,"[-114.2549334375, 51.14129398125]",16.69452995,0.329829861,159495.9423,0.182563616,1.496596132,1.11,2
49,1142 SAGE HILL GV NW,2022-01-10,2022,2023-12-11,2023,Townhouse,TRICO HOMES,0,TRICO HOMES,64,13683507,SAGE HILL,SGH,4471500,31002500,26531000,129000,"[-114.13918504444445, 51.17323838111111]",15.04181402,0.180043895,213804.7969,0.171775829,1.468926202,0.71,2
209,819 SHAWNEE TC SW,2022-02-08,2022,2022-09-06,2022,Townhouse,CARDEL HOMES,0,CARDEL HOMES,3,771776,SHAWNEE SLOPES,SHS,1372500,1633000,260500,100000,"[-114.0865605, 50.9237967]",13.48672508,0.282990782,257258.6667,0.114810571,0.596831095,-0.24,0
139,406 SHAWNEE SQ SW,2023-03-10,2023,2023-12-22,2023,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,0,6,1341370,SHAWNEE SLOPES,SHS,332000,4551000,4219000,100000,"[-114.0832925, 50.92187523]",13.68451792,0.115944122,223561.6667,0.151424369,0.488924743,1.72,2
160,#1 136 21 AV NE,2020-08-13,2020,2021-11-08,2021,Townhouse,PROFESSIONAL CUSTOM HOMES,PROFESSIONAL CUSTOM HOMES,PEAK CONTRACTING SERVICES,3,1098327,TUXEDO PARK,TUX,424000,1428000,1004000,80000,"[-114.0603565, 51.07164371]",3.098870212,0.167305534,366109,0.53490291,0.322142871,-0.06,0
50,3028B 85 ST SW,2020-04-27,2020,2022-03-22,2022,Unspecified,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,52,8774755,SPRINGBANK HILL,SPH,1290000,26111000,24821000,160000,"[-114.21051307, 51.026443396999994]",9.904554004,0.705048018,168745.2885,0.301558405,1.21188132,1.59,2
87,#110 6527 36 AV NW,2019-05-28,2019,2023-07-19,2023,Townhouse,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,ONYX HOMES,34,5806351,BOWNESS,BOW,5185000,30040000,24855000,70000,"[-114.1842037, 51.08558538]",9.068595502,0.183192418,170775.0294,0.177113335,0.402957215,1.73,2
74,#22 1426 23 AV NW,2018-11-23,2018,2020-09-09,2020,Townhouse,JACKSON MCCORMICK DESIGN GROUP,JACKSON MCCORMICK DESIGN GROUP,0,24,5491540,CAPITOL HILL,CAP,1406000,27040000,25634000,81000,"[-114.0935569, 51.07331876]",3.521058269,0.109735666,228814.1667,0.277473808,0.51350463,2.92,2
6,#1 2114 4 AV NW,2018-10-16,2018,2020-09-11,2020,Townhouse,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,15,3924823,HILLHURST,HIL,2580000,5643000,3063000,109000,"[-114.10846683333334, 51.056866706666675]",2.891322994,0.049671112,261654.8667,0.184723662,0.462644007,-0.13,0
48,7 WOLF CREEK DR SE,2021-12-21,2021,2023-04-17,2023,Townhouse,ALLISTON AT HOME,ALLISTON AT HOME,0,18,3945239,WOLF WILLOW,WWO,1470500,9004000,7533500,112000,"[-114.00922735, 50.87689972]",19.17121572,0.104173144,219179.9444,0.259903758,1.651847232,0.66,2
21,156 WOLF HOLLOW PA SE,2019-04-05,2019,2022-07-25,2022,Unspecified,STEPPER HOMES,0,STEPPER HOMES,71,13993700,WOLF WILLOW,WWO,1761000,24476500,22715500,112000,"[-113.99901075, 50.874440468125]",19.61147751,0.341799367,197094.3662,0.023942863,1.602182113,0.55,1
58,59 WOLF CREEK AV SE,2020-04-08,2020,2023-10-19,2023,Unspecified,LOOK MASTER BUILDER CALGARY,LOOK MASTER BUILDER CALGARY,0,64,17906580,WOLF WILLOW,WWO,3802000,199725410,195923410,112000,"[-114.00658922, 50.87508383666667]",19.410545,0.017359596,279790.3125,0.033770975,1.880204622,8.20,2
35,863 CRANSTON AV SE,2017-08-31,2017,2023-10-16,2023,Unspecified,BROOKFIELD RESIDENTIAL (ALBERTA),0,BROOKFIELD RESIDENTIAL (ALBERTA),141,24145078,CRANSTON,CRA,4763000,50132910,45369910,121000,"[-113.97663830869564, 50.865634005217395]",21.00267357,0.18828309,171241.6879,0.129083023,1.143181417,0.73,2
0,#406 5030 84 AV NE,2022-11-16,2022,2023-11-27,2023,Townhouse,RICK BALBI ARCHITECT,RICK BALBI ARCHITECT,0,30,4333200,SADDLE RIDGE,SAD,3400000,77760000,74360000,98000,"[-113.9623052, 51.12897805]",12.09669336,0.270040718,144440,0.381898976,0.284760248,9.06,2
10,10 YORKVILLE RD SW,2021-05-26,2021,2022-06-21,2022,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,8,1458451,YORKVILLE,YKV,703000,3397000,2694000,112000,"[-114.077594, 50.8747358]",18.90709467,0.470263989,182306.375,0.104952439,0.8940685,0.57,1
